Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2001","2001","°C","-0.824","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2002","2002","°C","2.735","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2003","2003","°C","1.785","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2004","2004","°C","2.463","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2005","2005","°C","3.543","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2006","2006","°C","-2.675","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2007","2007","°C","6.703","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2008","2008","°C","1.649","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2009","2009","°C","2.239","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2010","2010","°C","-1.016","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2011","2011","°C","1.58","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2012","2012","°C","1.469","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2013","2013","°C","0.233","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2014","2014","°C","-0.484","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2015","2015","°C","3.164","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2016","2016","°C","2.127","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2017","2017","°C","2.656","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2018","2018","°C","2.666","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7001","January","2019","2019","°C","2.964","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2009","2009","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2010","2010","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2011","2011","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2012","2012","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2013","2013","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2014","2014","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2015","2015","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2016","2016","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2017","2017","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2018","2018","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7001","January","2019","2019","°C","","NA",""
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2001","2001","°C","0.189","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2002","2002","°C","4.693","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2003","2003","°C","1.732","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2004","2004","°C","2.071","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2005","2005","°C","0.485","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2006","2006","°C","0.844","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2007","2007","°C","0.101","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2008","2008","°C","4.282","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2009","2009","°C","-0.648","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2010","2010","°C","-1.359","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2011","2011","°C","0.171","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2012","2012","°C","1.129","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2013","2013","°C","1.515","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2014","2014","°C","1.679","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2015","2015","°C","5.332","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2016","2016","°C","5.819","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2017","2017","°C","4.334","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2018","2018","°C","3.048","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7002","February","2019","2019","°C","3.76","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2009","2009","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2010","2010","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2011","2011","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2012","2012","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2013","2013","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2014","2014","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2015","2015","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2016","2016","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2017","2017","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2018","2018","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7002","February","2019","2019","°C","","NA",""
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2001","2001","°C","1.182","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2002","2002","°C","5.061","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2003","2003","°C","2.777","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2004","2004","°C","1.482","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2005","2005","°C","1.309","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2006","2006","°C","1.288","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2007","2007","°C","3.211","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2008","2008","°C","5.214","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2009","2009","°C","1.636","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2010","2010","°C","0.462","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2011","2011","°C","4.416","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2012","2012","°C","0.647","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2013","2013","°C","-0.925","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2014","2014","°C","5.172","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2015","2015","°C","4.259","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2016","2016","°C","4.541","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2017","2017","°C","7.392","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2018","2018","°C","0.405","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7003","March","2019","2019","°C","5.197","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2009","2009","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2010","2010","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2011","2011","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2012","2012","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2013","2013","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2014","2014","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2015","2015","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2016","2016","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2017","2017","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2018","2018","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7003","March","2019","2019","°C","","NA",""
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2001","2001","°C","1.328","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2002","2002","°C","1.161","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2003","2003","°C","1.339","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2004","2004","°C","-0.119","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2005","2005","°C","1.725","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2006","2006","°C","-1.409","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2007","2007","°C","4.09","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2008","2008","°C","1.068","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2009","2009","°C","2.19","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2010","2010","°C","0.953","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2011","2011","°C","3.867","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2012","2012","°C","3.202","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2013","2013","°C","2.602","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2014","2014","°C","3.828","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2015","2015","°C","2.233","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2016","2016","°C","3.841","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2017","2017","°C","2.879","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2018","2018","°C","2.411","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7004","April","2019","2019","°C","3.041","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2009","2009","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2010","2010","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2011","2011","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2012","2012","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2013","2013","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2014","2014","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2015","2015","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2016","2016","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2017","2017","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2018","2018","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7004","April","2019","2019","°C","","NA",""
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2001","2001","°C","1.993","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2002","2002","°C","1.291","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2003","2003","°C","1.538","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2004","2004","°C","0.975","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2005","2005","°C","2.217","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2006","2006","°C","0.816","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2007","2007","°C","1.771","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2008","2008","°C","1.214","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2009","2009","°C","1.02","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2010","2010","°C","2.554","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2011","2011","°C","2.033","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2012","2012","°C","2.646","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2013","2013","°C","2.526","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2014","2014","°C","1.994","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2015","2015","°C","2.023","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2016","2016","°C","1.766","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2017","2017","°C","0.398","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2018","2018","°C","0.994","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7005","May","2019","2019","°C","1.944","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2009","2009","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2010","2010","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2011","2011","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2012","2012","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2013","2013","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2014","2014","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2015","2015","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2016","2016","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2017","2017","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2018","2018","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7005","May","2019","2019","°C","","NA",""
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2001","2001","°C","1.286","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2002","2002","°C","1.172","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2003","2003","°C","0.367","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2004","2004","°C","0.545","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2005","2005","°C","1.253","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2006","2006","°C","1.903","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2007","2007","°C","0.608","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2008","2008","°C","1.11","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2009","2009","°C","0.949","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2010","2010","°C","1.599","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2011","2011","°C","1.979","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2012","2012","°C","2.716","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2013","2013","°C","1.537","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2014","2014","°C","0.994","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2015","2015","°C","2.034","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2016","2016","°C","1.915","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2017","2017","°C","1.163","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2018","2018","°C","1.665","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","7271","Temperature change","7006","June","2019","2019","°C","1.769","Fc","Calculated data"
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2001","2001","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2002","2002","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2003","2003","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2004","2004","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2005","2005","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2006","2006","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2007","2007","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2008","2008","°C","","NA",""
"ET","Temperature change","185","Russian Federation","6078","Standard Deviation","7006","June","2009","2009","°C","","NA",""
